Long Lat Easting Northing Elev ObsGrav TheoreticalCorr AtmosphericCorr FreeAirCorr BougerCorr TerrCorr TCBougGrav TCBougAn
-111.579481 42.854772 452656.305880 4744850.512163 1852.408000 3188.882000 18.050551 0.863028 -34.335058 11.8941 0.576 3194.135476 -14.1855
-111.579480 42.854794 452656.373923 4744852.956486 1852.408000 3188.871000 18.052536 0.863028 -34.335058 11.8941 0.576 3194.122491 -14.1985
-111.579480 42.854816 452656.445808 4744855.401005 1852.408000 3188.860000 18.054521 0.863028 -34.335058 11.8941 0.576 3194.109506 -14.2115
-111.579479 42.854838 452656.521453 4744857.845832 1852.408000 3188.849000 18.056506 0.863028 -34.335058 11.8941 0.576 3194.096521 -14.2245
-111.579478 42.854860 452656.600775 4744860.290744 1852.408000 3188.838000 18.058491 0.863028 -34.335058 11.8941 0.576 3194.083536 -14.2375
-111.579477 42.854882 452656.683612 4744862.735853 1852.408000 3188.827000 18.060476 0.863028 -34.335058 11.8941 0.576 3194.070551 -14.2504
-111.579477 42.854904 452656.769719 4744865.181163 1852.408000 3188.816000 18.062462 0.863028 -34.335058 11.8941 0.576 3194.057566 -14.2634
-111.579476 42.854926 452656.859013 4744867.626673 1852.408000 3188.804000 18.064447 0.863028 -34.335058 11.8941 0.576 3194.043580 -14.2774
-111.579475 42.854948 452656.951413 4744870.072272 1852.408000 3188.793000 18.066432 0.863028 -34.335058 11.8941 0.576 3194.030595 -14.2904
-111.579474 42.854970 452657.046591 4744872.518075 1852.408000 3188.781000 18.068417 0.863028 -34.335058 11.8941 0.576 3194.016610 -14.3044
-111.579473 42.854992 452657.144385 4744874.963970 1852.408000 3188.768000 18.070402 0.863028 -34.335058 11.8941 0.576 3194.001625 -14.3194
-111.579472 42.855014 452657.244630 4744877.409849 1852.408000 3188.756000 18.072387 0.863028 -34.335058 11.8941 0.576 3193.987640 -14.3334
-111.579471 42.855036 452657.347083 4744879.855934 1852.408000 3188.743000 18.074372 0.863028 -34.335058 11.8941 0.576 3193.972655 -14.3483
-111.579470 42.855058 452657.451497 4744882.302118 1852.408000 3188.730000 18.076357 0.863028 -34.335058 11.8941 0.576 3193.957670 -14.3633
-111.579469 42.855080 452657.557708 4744884.748288 1852.408000 3188.717000 18.078342 0.863028 -34.335058 11.8941 0.576 3193.942685 -14.3783
-111.579467 42.855102 452657.665472 4744887.194560 1852.408000 3188.703000 18.080327 0.863028 -34.335058 11.8941 0.576 3193.926700 -14.3943
-111.579466 42.855124 452657.774544 4744889.640933 1852.408000 3188.690000 18.082312 0.863028 -34.335058 11.8941 0.576 3193.911715 -14.4093
-111.579465 42.855146 452657.884760 4744892.087298 1852.408000 3188.676000 18.084297 0.863028 -34.335058 11.8941 0.576 3193.895730 -14.4253
-111.579464 42.855168 452657.995711 4744894.533658 1852.408000 3188.662000 18.086282 0.863028 -34.335058 11.8941 0.576 3193.879745 -14.4413
-111.579463 42.855191 452658.107316 4744896.980125 1852.408000 3188.647000 18.088357 0.863028 -34.335058 11.8941 0.576 3193.862670 -14.4583
-111.579462 42.855213 452658.219330 4744899.426478 1852.408000 3188.633000 18.090342 0.863028 -34.335058 11.8941 0.576 3193.846685 -14.4743
-111.579461 42.855235 452658.331425 4744901.872942 1852.408000 3188.619000 18.092327 0.863028 -34.335058 11.8941 0.576 3193.830700 -14.4903
-111.579459 42.855257 452658.443439 4744904.319406 1852.408000 3188.605000 18.094312 0.863028 -34.335058 11.8941 0.576 3193.814715 -14.5063
-111.579458 42.855279 452658.555126 4744906.765872 1852.408000 3188.592000 18.096297 0.863028 -34.335058 11.8941 0.576 3193.799730 -14.5213
-111.579457 42.855301 452658.666321 4744909.212231 1852.408000 3188.578000 18.098282 0.863028 -34.335058 11.8941 0.576 3193.783745 -14.5373
