Long Lat Easting Northing Elev ObsGrav TheoreticalCorr AtmosphericCorr FreeAirCorr BougerABCorr TerrCorr TCBougGrav TCBougAn
-111.538390 42.868361 456023.138000 4746337.252000 2016.551000 3149.557000 19.276142 0.847004 -84.979343 29.387115 1.89199 3188.61 -21.5
-111.533650 42.874147 456414.335000 4746977.303000 1991.926000 3156.371000 19.798225 0.849395 -77.381840 26.877809 1.24103 3189.17 -20.94
-111.524650 42.876280 457150.907000 4747209.553000 1975.274000 3161.473000 19.990692 0.851015 -72.244186 25.167876 1.06223 3190.47 -19.64
-111.519815 42.880093 457548.368000 4747630.481000 1943.662000 3170.223000 20.334754 0.854096 -62.490804 21.892653 1.00229 3192.34 -17.77
-111.521889 42.883989 457381.701000 4748064.169000 1960.368000 3166.804000 20.686308 0.852467 -67.645183 23.628264 1.47526 3192.46 -17.65
-111.517695 42.887144 457726.315000 4748412.407000 1916.167000 3179.535000 20.971002 0.856781 -54.007536 19.012922 0.810762 3195.23 -14.88
-111.512935 42.890112 458117.023000 4748739.614000 1896.300000 3186.972000 21.238824 0.858724 -47.877736 16.914108 0.941812 3198.5 -11.61
-111.608678 42.654196 450110.297000 4722594.577000 1746.294000 3207.025000 -0.042383 0.873489 -1.592822 0.577583 1.17245 3210.13 0.02
-111.608678 42.654196 450110.297000 4722594.577000 1746.294000 3207.025000 -0.042383 0.873489 -1.592822 0.577583 1.17245 3210.13 0.02
-111.610348 42.853318 450133.301000 4744706.819000 1882.003000 3192.775000 17.918819 0.860124 -43.466522 15.394363 0.813289 3204.6 -5.51
-111.609891 42.858273 450174.590000 4745256.868000 1873.226000 3195.610000 18.365900 0.860985 -40.758409 14.457500 0.514401 3204.92 -5.19
-111.615032 42.860998 449756.846000 4745562.480000 1862.129000 3199.169000 18.611775 0.862073 -37.334456 13.268764 0.55448 3206.04 -4.07
-111.619493 42.864283 449395.077000 4745929.930000 1863.679000 3199.603000 18.908180 0.861921 -37.812703 13.435088 0.561973 3206.5 -3.61
-111.621584 42.868558 449227.748000 4746405.911000 1857.813000 3202.188000 19.293917 0.862497 -36.002755 12.805147 0.619836 3207.57 -2.54
-111.602292 42.844747 450784.686000 4743750.386000 1854.007000 3196.819000 17.145487 0.862871 -34.828438 12.395720 0.58519 3203.55 -6.56
-111.504565 42.840767 458767.667000 4743255.952000 1906.390000 3181.607000 16.786392 0.857737 -50.990990 17.981938 0.910124 3199.6 -10.51
-111.500931 42.853000 459072.738000 4744612.618000 1897.987000 3183.827000 17.890127 0.858559 -48.398293 17.092916 1.06264 3199.16 -10.95
-111.500993 42.862388 459073.850000 4745655.077000 1892.325000 3186.983000 18.737194 0.859113 -46.651309 16.492359 0.956117 3200.22 -9.89
-111.608678 42.654196 450110.297000 4722594.577000 1746.294000 3207.025000 -0.042383 0.873489 -1.592822 0.577583 1.17245 3210.13 0.02
